shelfmark,aggregate_score,signal_count,signals,non_bibliographic_hits,detail_url,viewer_url,best_snippet
Reg.lat.1560,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1560,https://digi.vatlib.it/view/MSS_Reg.lat.1560,"1) 1r-8v: Disticha [Catonis] 2) 137r-140v: Remigius Autissidorensis, O.S.B., c. 841-908 Commentarius in Catonis Disticha"
Reg.lat.1586,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1586,https://digi.vatlib.it/view/MSS_Reg.lat.1586,"1) 87r: Versus quidam de Dionysio Aeropagita, cum Commentariolo."
Reg.lat.1647,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1647,https://digi.vatlib.it/view/MSS_Reg.lat.1647,"1) 1r-182v: Macrobius, Ambrosius Aurelius Theodosius, f. 400/430 Macrobii Theodosii liber primus incipit de Saturnalibus"
Reg.lat.1750,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1750,https://digi.vatlib.it/view/MSS_Reg.lat.1750,"1) 1r-74v: Iuvenalis, Decimus Iunius, sec. I-II Saturae (Iuvenalis, Decimus Iunius, sec. I-II)"
Ross.66,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ross.66,https://digi.vatlib.it/view/MSS_Ross.66,"1) 13r-21r: Officium Sanctae Crucis, Officium Spiritus Sancti."
Ross.593,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ross.593,https://digi.vatlib.it/view/MSS_Ross.593,1) 285r-316v: Index alphabeticus in Distinctiones Henrici Bohici super Decretales
Ross.595,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ross.595,https://digi.vatlib.it/view/MSS_Ross.595,1) 5r-12v: Summa Decreti Gratiani.
Urb.lat.65,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.65,https://digi.vatlib.it/view/MSS_Urb.lat.65,"1) 193r: Gelasius PP. I, s., m. 496 Epistula 4."
Urb.lat.68,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.68,https://digi.vatlib.it/view/MSS_Urb.lat.68,"1) 1r-292v: Augustinus, s., vesc. d'Ippona, 354-430 In Iohannis Evangelium tractatus I-CXXII"
Urb.lat.69,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.69,https://digi.vatlib.it/view/MSS_Urb.lat.69,"1) 176v-208v: Prosper Aquitanus, s., c. 390-463. Opere spurie e dubbie De vocatione omnium gentium Libri I-II"
Urb.lat.136,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.136,https://digi.vatlib.it/view/MSS_Urb.lat.136,"1) Ir-125v: Thomas Aquinas, s., c. 1225-1274 Questiones sancti Thomae de Aquino et primo de potentia Dei"
Urb.lat.185,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.185,https://digi.vatlib.it/view/MSS_Urb.lat.185,"1) 181r-186v: Plato, 427-347 a.C. Ion Platonis liber de furore poetico a Marsilio translatus e greca lingua in latinam ad Laurentium Medicem virum clarissimum"
Urb.lat.187,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.187,https://digi.vatlib.it/view/MSS_Urb.lat.187,"1) Avicenna, Liber de philosophia prima, sive scientia divina; De anima; De animalibus. sec. XV"
Urb.lat.337,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.337,https://digi.vatlib.it/view/MSS_Urb.lat.337,"1) 158v-159v: Valla, Lorenzo, 1406-1457 De falso credita et ementita Constantini donatione declamatio (Valla, Lorenzo, 1406-1457). Fragmenta"
Urb.lat.489,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.489,https://digi.vatlib.it/view/MSS_Urb.lat.489,"1) 1r-94v: Urbani, Urbano, sec. XVI. Opere spurie e dubbie Memorie di Francesco Maria I Della Rovere, duca di Urbino, dell'anno 1509 fino all'assedio di Faenza."
