shelfmark,term,signal_weight,section,snippet,detail_url,viewer_url,score
Barb.gr.184,fragmentum,7.0,General Data,"1) 1r-132r: Nicephorus Gregoras, 1295-1359/1360 τοῦ αὐτοῦ λόγος δεύτερος ῥωμαïκῆς ἱστορίας ὅς ἐστι τῆς καθολικῆς αὐτοῦ ἱστορίας δέκατος τρίτος.",https://digi.vatlib.it/mss/detail/Barb.gr.184,https://digi.vatlib.it/view/MSS_Barb.gr.184,8.5
Barb.gr.194,fragmentum,7.0,General Data,"1) 1r-34r: Iohannes Lydus, sec. VI ἐκ τῶν τοῦ Ἰωάννου τοῦ Φιλαδελφέως.",https://digi.vatlib.it/mss/detail/Barb.gr.194,https://digi.vatlib.it/view/MSS_Barb.gr.194,8.5
Barb.gr.200,fragmentum,7.0,General Data,"1) 1r-84v: Arrianus, Flavius, c. 95-c. 175 Arriani de acie instruenda liber ex Graeco conversus a Luca Holstenio, Descriptio aciei quam Arrianus contra Alanos instruxit, Ars instruendi aciem, Ex observatione Gronovii, Militaria ex inscriptionibus.",https://digi.vatlib.it/mss/detail/Barb.gr.200,https://digi.vatlib.it/view/MSS_Barb.gr.200,7.0
Barb.gr.201,fragmentum,7.0,General Data,"1) Ir-40v: Arrianus, Flavius, c. 95-c. 175 Arriani De venatione. Epistola dicata ad Cardinalem Antonium Barberini.",https://digi.vatlib.it/mss/detail/Barb.gr.201,https://digi.vatlib.it/view/MSS_Barb.gr.201,8.5
Barb.gr.221,fragmentum,7.0,General Data,"1) 48r-v. 55r: Galenus, Claudius, 129-199 De crisibus libri III (fragmenta)",https://digi.vatlib.it/mss/detail/Barb.gr.221,https://digi.vatlib.it/view/MSS_Barb.gr.221,8.5
Barb.gr.237,fragmentum,7.0,General Data,"1) 108r-v: Iohannes Malalas, c. 491-c. 578 Fragmentum e Iohannis Malalae chronographia",https://digi.vatlib.it/mss/detail/Barb.gr.237,https://digi.vatlib.it/view/MSS_Barb.gr.237,8.5
Barb.gr.278,fragmentum,7.0,General Data,"1) 41r-v. 34r-40v: Athenaeus Naucratita, sec. III-II <Athenaei Naucratitae Dipnosophistarum> fragmentum libri XV",https://digi.vatlib.it/mss/detail/Barb.gr.278,https://digi.vatlib.it/view/MSS_Barb.gr.278,8.5
Barb.gr.331,fragmentum,7.0,General Data,1) 222r-223v: Fragmentum liturgicum,https://digi.vatlib.it/mss/detail/Barb.gr.331,https://digi.vatlib.it/view/MSS_Barb.gr.331,8.5
Barb.gr.336,fragmentum,7.0,General Data,1) 266r-279r: Fragmentum .,https://digi.vatlib.it/mss/detail/Barb.gr.336,https://digi.vatlib.it/view/MSS_Barb.gr.336,8.5
Barb.gr.475,fragmentum,7.0,General Data,1) 1r-4v: Fragmentum cum notatione 2) 195r-196v: Fragmentum,https://digi.vatlib.it/mss/detail/Barb.gr.475,https://digi.vatlib.it/view/MSS_Barb.gr.475,8.5
Barb.lat.64,fragmentum,7.0,General Data,"1) Iv: Priscianus Caesariensis, sec. V-VI De littera ""I"" quaedam, partim ex Prisciani Caesariensis Institutionibus de arte grammatica, I, 18-19.",https://digi.vatlib.it/mss/detail/Barb.lat.64,https://digi.vatlib.it/view/MSS_Barb.lat.64,8.5
Barb.lat.116,fragmentum,7.0,General Data,"1) Ir(2): Vergerio, Pietro Paolo, il vecchio, 1370-1444 Epistola CXXXVII.",https://digi.vatlib.it/mss/detail/Barb.lat.116,https://digi.vatlib.it/view/MSS_Barb.lat.116,8.5
Barb.lat.140,fragmentum,7.0,General Data,"1) Iv: Marrasio, Bernabeo, sec. XV Epistula ad Andreocium Petrucium Senensem.",https://digi.vatlib.it/mss/detail/Barb.lat.140,https://digi.vatlib.it/view/MSS_Barb.lat.140,8.5
Barb.lat.415,fragmentum,7.0,General Data,"1) 262r(1): Glossa Ordinaria in prophetas minores. 2) 262r-v: Glossa Ordinaria in Osee. 3) 262vB-263r: Glossa Ordinaria in Micheas. 4) 263rA: Glossa Ordinaria in Nahum. 5) 263v(1): Glossa Ordinaria in Sophoniam. 6) 263v-264r: Glossa Ordinaria in Zachariam. 7) 263vB(1): Hieronymus, s., 342/347-419 Biblia sacra latine. V. T., Aggaeus. Praefatio. 8) 263vB(2): Glossa Ordinaria in Zachariam. 9) 264r(1): Glossa Ordinaria in Malachiam. 10) 368vB: Fragmentum Canon Missae.",https://digi.vatlib.it/mss/detail/Barb.lat.415,https://digi.vatlib.it/view/MSS_Barb.lat.415,7.0
Barb.lat.574,fragmentum,7.0,General Data,"1) 1rA (l. 36)-B (l. 16): Gregorius PP. I, Magnus, s., c. 540-604 Epistula IX, 147. 2) 1rA (ll. 2-35): Gregorius PP. I, Magnus, s., c. 540-604 Epistula XI, 18. 3) 1rB (l. 29)-1vA (l. 5): Gregorius PP. I, Magnus, s., c. 540-604 Epistula XI, 27. 4) 1rB (ll. 16-19): Gregorius PP. I, Magnus, s., c. 540-604 Epistula IX, 214. 5) 1rB (ll. 19-28): Gregorius PP. I, Magnus, s., c. 540-604 Epistula X, 21. 6) 1vA (ll. 6-21): Gregorius PP. I, Magnus, s., c. 540-604 Epistula IX, 27.",https://digi.vatlib.it/mss/detail/Barb.lat.574,https://digi.vatlib.it/view/MSS_Barb.lat.574,7.0
Barb.lat.575,fragmentum,7.0,General Data,1) 170r: De custodia linguae 2) IIIrA (ll. 1-17): Sermo de tempore. In Vigilia Nativitate Domini. Fragmentum .,https://digi.vatlib.it/mss/detail/Barb.lat.575,https://digi.vatlib.it/view/MSS_Barb.lat.575,8.5
Barb.lat.1398,fragmentum,7.0,General Data,"Low Quality 1) 501r: Repertorium iuris anonymi ( fragmentum ). 2) contropiatto posteriore: Ioulianos, Scholastikos, f. 535-555 Epitome novellarum, Const. CXV, 2-8",https://digi.vatlib.it/mss/detail/Barb.lat.1398,https://digi.vatlib.it/view/MSS_Barb.lat.1398,8.5
Barb.lat.1402,fragmentum,7.0,General Data,"1) risguardia posteriore: Ubaldi, Baldo degli, 1327?-1400. Opere spurie e dubbie Fragmentum literae ad ignotos, ut non separarent Commune Perusii ab omni subsidio Florentinorum.",https://digi.vatlib.it/mss/detail/Barb.lat.1402,https://digi.vatlib.it/view/MSS_Barb.lat.1402,8.5
Barb.lat.1405,fragmentum,7.0,General Data,"1) 2r-v: Ubaldi, Baldo degli, 1327?-1400 Repetitio ad l. 8 Et si post tres, D., 2, 11.",https://digi.vatlib.it/mss/detail/Barb.lat.1405,https://digi.vatlib.it/view/MSS_Barb.lat.1405,8.5
Barb.lat.1406,fragmentum,7.0,General Data,"1) 81r-v: Ubaldi, Baldo degli, 1327?-1400. Opere spurie e dubbie Consilium, an instrumentum valeat etiam si notarius confiteretur aliquid contra propriam scripturam.",https://digi.vatlib.it/mss/detail/Barb.lat.1406,https://digi.vatlib.it/view/MSS_Barb.lat.1406,8.5
Barb.lat.1407,fragmentum,7.0,General Data,"1) 44r-45r: Allegationes iuris ad quandam factispeciem in materia de legatis. 2) 45r-v: Ubaldi, Francesco degli, n. 1359. Opere spurie e dubbie Fragmentum allegationum iuris ad cuiusdam Francisci de Civitate Castelli allegationes. 3) 45v(1): Ubaldi, Francesco degli, n. 1359. Opere spurie e dubbie Consilium, an refutatio sine causa pro donatione intelligere possit.",https://digi.vatlib.it/mss/detail/Barb.lat.1407,https://digi.vatlib.it/view/MSS_Barb.lat.1407,7.0
Barb.lat.1862,fragmentum,7.0,General Data,"Low Quality 1) 99v: Petrarca, Francesco, 1304-1374 Fragmentum epistulae ad I[acobum] de Columna Lombesiensis ep.",https://digi.vatlib.it/mss/detail/Barb.lat.1862,https://digi.vatlib.it/view/MSS_Barb.lat.1862,8.5
Borgh.5,fragmentum,7.0,General Data,1) 1r-9r: Breviarii proprii de tempore fragmentum .,https://digi.vatlib.it/mss/detail/Borgh.5,https://digi.vatlib.it/view/MSS_Borgh.5,8.5
Borgh.6,fragmentum,7.0,General Data,1) 129r-v: Fragmentum alicuius glossarii.,https://digi.vatlib.it/mss/detail/Borgh.6,https://digi.vatlib.it/view/MSS_Borgh.6,8.5
Borgh.22,fragmentum,7.0,General Data,"1) 233v: Albertus Magnus, s., vesc. di Regensburg, c. 1193-1280 <Initium indicis ad partem I Summae theologiae s. Alberti Magni.> 2) Ir: Albertus Magnus, s., vesc. di Regensburg, c. 1193-1280 Fragmenta (2) ex eodem opere, id est pars I Summae Theologiae.",https://digi.vatlib.it/mss/detail/Borgh.22,https://digi.vatlib.it/view/MSS_Borgh.22,7.0
Borgh.30,fragmentum,7.0,General Data,"1) Ir-v: Cassiodorus Senator, Flavius Magnus Aurelius, s., c. 487-c. 583 Cuiusdam Historiae ecclesiasticae fragmentum .",https://digi.vatlib.it/mss/detail/Borgh.30,https://digi.vatlib.it/view/MSS_Borgh.30,8.5
Borgh.39,fragmentum,7.0,General Data,"1) 2r-13v: Tabula distinctionum de sermonibus eiusdem cod. Borgh. 153, secundum litterarum ordinem; pars prior.",https://digi.vatlib.it/mss/detail/Borgh.39,https://digi.vatlib.it/view/MSS_Borgh.39,8.5
Borgh.43,fragmentum,7.0,General Data,1) 46r-v: Fragmentum ex sermonis de s. Ivone Trecorensi,https://digi.vatlib.it/mss/detail/Borgh.43,https://digi.vatlib.it/view/MSS_Borgh.43,8.5
Borgh.54,fragmentum,7.0,General Data,"1) 1r-2v: Olivi, Pierre Jean, O.F.M., c. 1248-1298 Sermo de nativitate b. Mariae Virginis, ut videtur. 2) 1r-34v: Olivi, Pierre Jean, O.F.M., c. 1248-1298 Sermones varii saltem ex parte Petro Iohannis Olivi tribuendi. 3) 37r-39v: < Fragmentum de iure canonico.> 4) 39v-41v: < Fragmentum de iure canonico.> 5) 129r-131r: Olivi, Pierre Jean, O.F.M., c. 1248-1298 Tractatus de quantitate. 6) 145r-148v: Expositiones allegoricae in aliquot Genesis capitula.",https://digi.vatlib.it/mss/detail/Borgh.54,https://digi.vatlib.it/view/MSS_Borgh.54,7.0
Borgh.63,fragmentum,7.0,General Data,1) 54v: Fragmentum cuiusdam in Senecae ad Lucilium epistulas commentarii.,https://digi.vatlib.it/mss/detail/Borgh.63,https://digi.vatlib.it/view/MSS_Borgh.63,8.5
Borgh.69,fragmentum,7.0,General Data,"1) 1r-3v in margg., 4r-7v, 8r-9v, 10r-12v in margg., 13r-14v, 15r-v in margg., 16r-17v, 18r-20v in margg., 21r-24v, 25r-26v in margg., 27r-30v, 31r-33r in margg., partim in marginibus partim foliis intersertis: Clemens PP. VI, 1291-1352 Expositiones in Psalmos. 2) 1r-3v in marginibus: Clemens PP. VI, 1291-1352 Expositiones in Psalmos. 3) 1r-7v, 10r-12v, 15r-v, 18r-20v, 25r-26v, 31r-52v: Expositiones in Psalmos anonymae. 4) 4r-7v in marginibus, 8r-9v, 10r-12v in marginibus, 13r-14v, 15r-v in marginibus, 16r-17v, 18r-20v in marginibus, 21r-24v, 25r-26v in marginibus, 27r-30v, 31r-33r in marginibus: Clemens PP. VI, 1291-1352 Expositiones in Psalmos. 5) 53r-64v: Expositiones in Psalmos anonymae. 6) 65r-175v: Expositiones in Psalmos anonymae. 7) 187r-198v: Olivi, Pierre Jean, O.F.M., c. 1248-1298 Sermones varii saltem ex parte Petro Iohannis Olivi tribuendi.",https://digi.vatlib.it/mss/detail/Borgh.69,https://digi.vatlib.it/view/MSS_Borgh.69,7.0
Borgh.80,fragmentum,7.0,General Data,1) Ir-v: Fragmentum cuiusdam tractatus (?) de virtutibus monachorum. 2) 1r(1): Fragmentum cuiusdam expositionis in Aristotelis Metaphysicorum lib. II,https://digi.vatlib.it/mss/detail/Borgh.80,https://digi.vatlib.it/view/MSS_Borgh.80,8.5
Borgh.82,fragmentum,7.0,General Data,1) 116v-118v: Glossarium biblicum ( fragmentum ). 2) 119r-131v: Expositiones allegoricae in aliquot Genesis capitula ( fragmentum ).,https://digi.vatlib.it/mss/detail/Borgh.82,https://digi.vatlib.it/view/MSS_Borgh.82,8.5
